solvent1,T1,solvent2,T2,yield,cost,environment cost,objective
3,298,3,318,1.0555596854384113,1.4584243533091632,1.41874551327371,0.672534437585386
1,299,4,327,1.0270057609926722,0.9261225712155464,0.7994553924438362,1.191222540155653
4,296,2,319,1.0534530396837372,1.161615754142139,0.9615487143403675,1.045323845126221
2,287,1,314,1.0121993200766388,1.0089972260616507,0.9387374784872375,1.0505312878788335
3,301,3,310,1.0576498150940752,1.4566876481918685,1.4160442551732655,0.6789336785055833
4,296,2,319,1.0534530396837372,1.161615754142139,0.9615487143403675,1.045323845126221
3,285,4,313,1.0005833796896928,1.4851889259020181,1.3656699140919348,0.5757373393824091
3,293,3,312,1.0564003716408343,1.462825365972188,1.4174405669185015,0.6726677768363238
1,304,3,308,1.0856207660251904,0.9540459734630385,0.8799154917743293,1.254260799431697
3,281,1,318,0.9727434641065675,1.5564806245621932,1.583590865230322,0.37545118331687743
3,295,2,326,1.0519063479601554,1.6821461638400441,1.6721362029248996,0.42667151253783886
2,290,2,328,1.092487258691198,1.183134338050931,1.0769185814798543,1.0549480576170032
2,294,3,314,1.0971439533220047,0.9604436989112225,0.8246805392136698,1.3017257875815633
1,282,3,325,1.081749805648015,0.9712556954246622,0.8830642032288054,1.2363396619692963
4,304,2,318,1.054437815440199,1.1547088650776411,0.9611059740076626,1.050968211337746
1,296,4,311,1.0283609994423035,0.9486983431954654,0.798401820121284,1.1831719172262325
1,286,4,308,1.028630339144428,0.9630480877038514,0.7981927641560616,1.1766402523588995
3,300,1,315,0.974563519978619,1.5390762300431053,1.581468900298644,0.38885447478636326
1,297,4,318,1.0277517600121548,0.9384317016618023,0.7988751035432602,1.1868501174217783
3,292,4,311,1.0014543800019284,1.4807596880605864,1.3646643209478453,0.5801967554996411
4,285,1,307,0.9731479161638088,0.9988325119416421,0.816486765972598,1.0386361933704975
2,289,3,329,1.0939943568233905,0.9633757235305572,0.8271284840714197,1.2927366098457926
1,297,3,312,1.0846782150714533,0.9584859325076862,0.8806801104183254,1.2497734086799008
1,296,3,316,1.0837556452035042,0.9586351877467818,0.8814298079509473,1.2474787925581439
2,290,2,305,1.0975868997119014,1.187758967114616,1.0719149702163506,1.0653368307583193
2,285,3,313,1.0977741749219827,0.9698036615988797,0.8243410995867698,1.2984759692511407
4,302,3,316,1.0563896458268247,0.9356370743873041,0.7115446103337095,1.2891884492931425
3,302,2,318,1.054248422268484,1.6773603111935342,1.6688241088201872,0.43540463453010736
4,302,1,322,0.9747410877073898,0.9697713358098575,0.8158834570810379,1.056654778969332
1,296,2,310,1.0833333136088639,1.1811373251578643,1.1295443312669031,1.011325799005344
3,293,2,316,1.0537876745743426,1.6845755053338656,1.6690321187870882,0.43077153708820837
3,287,4,317,1.000448933396928,1.4778950022183186,1.3659065017690444,0.5789971148001745
2,287,2,310,1.0965580556668166,1.1896034281082166,1.0729957076215673,1.0618165434687414
1,290,1,329,0.9999919637491992,0.9969484864915419,0.9999989786337392,1.0015101949357579
4,287,3,324,1.0531373826955297,0.949683457427859,0.7132084930473791,1.2748287901534403
1,296,1,306,0.9999919637491992,1.0052163969035146,0.9999989786337392,0.9973762397297716
3,287,3,313,1.055549045854154,1.4682912222960256,1.418363968446562,0.6677704963370142
3,294,4,324,1.0005654531289534,1.4628566638327276,1.3659271391106527,0.5867390047862165
1,292,2,312,1.0828826899258492,1.1841475908688404,1.1300143724185618,1.0086843982079974
1,287,3,323,1.082187410882074,0.9660015568215673,0.8827071176505985,1.240020484528065
4,281,2,311,1.0535941161683084,1.1807813487829857,0.9604917604321698,1.0365516777290391
1,298,2,318,1.081558952791607,1.1777881702728348,1.1313974149084205,1.0085251129925865
2,290,2,325,1.0931183995120588,1.183562153373731,1.0762967940524184,1.0563073253110429
3,289,4,325,0.9999978104788705,1.4665191476619843,1.3665750048315404,0.5834485447109786
2,287,3,307,1.0991151809938207,0.9687062228780695,0.8233048939879086,1.3022248035546524
3,284,1,322,0.9730479304123634,1.5505102925175371,1.5832353414645126,0.37922304383370176
2,293,3,323,1.0951354878014612,0.9600779338166885,0.8262075230440993,1.2971282471725285
1,285,2,315,1.0822156134644243,1.1904621252675964,1.1307109119801186,1.003844708304991
1,291,4,310,1.0284502164772313,0.9548247978875036,0.7983325595562795,1.1803217542325712
4,289,4,318,1.000566067838998,0.928643066584362,0.6201747438261126,1.2267232304727587
4,288,4,321,1.0002198223483316,0.9261618049375202,0.6203633759163683,1.2271770542697191
4,300,4,327,1.00089039287756,0.906193979761752,0.6202481230560074,1.2385597343462407
3,284,1,317,0.9730479304123635,1.5534728528146615,1.5832353414645117,0.37774176368514045
1,282,4,323,1.027332321096016,0.9479396503846648,0.7992012680186491,1.181094182990375
2,289,4,324,1.0397058223895261,0.9388370614370231,0.7396681756161548,1.2401590262524633
4,288,1,317,0.9734434797027981,0.9881197891620366,0.8163746915330145,1.0446397190580705
1,291,2,316,1.0819955810373485,1.1842130966034936,1.1309408510581005,1.0064141882439
3,282,4,329,0.9989701542736151,1.4699463549504295,1.3677941174934698,0.5790700723252807
4,302,3,307,1.0584404729263244,0.9373132370439368,0.7101659263106572,1.2931413641753515
2,297,2,319,1.094111044161859,1.178058522349178,1.075150619968833,1.0616175171647122
3,280,2,309,1.0539231622592515,1.6984740038380453,1.6680016214398596,0.4246085118795505
4,294,3,307,1.057652625941405,0.9447127945698653,0.7104187266790652,1.2877394912583446
4,300,2,311,1.0555654480031125,1.1596143267803443,0.9598550432816371,1.0513962109752342
3,285,3,315,1.0548856841687764,1.4701964832639025,1.4191804183968455,0.6650829175071789
4,297,2,316,1.0541885926384393,1.1612478064689804,0.960936137091532,1.0472852134966224
4,302,3,315,1.056612671223708,0.9358012517340444,0.7113944204642881,1.2896275063482499
2,290,4,327,1.0394169949191374,0.9343794406833098,0.7398632295588539,1.241712654717193
4,299,4,323,1.0011164741970544,0.911687951660238,0.6200839966142465,1.2363469742568667
1,286,3,323,1.082187410882074,0.9670453225179712,0.8827071176505984,1.239498601679863
2,297,1,309,1.0118000669449563,1.0017724872235072,0.9389313714533862,1.053248204551466
2,290,3,329,1.0939504876054005,0.9623526065541803,0.8271467155383052,1.2931513141645583
1,292,4,329,1.0268453806691014,0.9302450827908101,0.7995802573134017,1.188778091286097
4,302,4,310,1.002480738848557,0.9258259679267994,0.6193116998156465,1.2323926438258912
2,280,1,321,1.0124952406536005,1.013805318275652,0.938593866529854,1.0487908889044482
4,294,4,307,1.001998543595148,0.938177541949226,0.6194153703806342,1.2252006310253658
4,294,3,318,1.0551611352580736,0.9427453201663776,0.7120961971427134,1.2829015118616018
3,294,2,310,1.055191964525991,1.6844336059653708,1.6668704504778433,0.43473190083037516
3,285,4,313,1.0005833796896928,1.4851889259020181,1.3656699140919348,0.5757373393824091
3,285,4,317,1.0002456599090228,1.4800506156253608,1.3661310145618897,0.5774005047244204
1,282,3,324,1.081968038777543,0.971367752838377,0.882886089035282,1.2368091566182566
1,299,3,319,1.083076463543915,0.955789721387175,0.8819825398954829,1.247266796446501
4,288,1,320,0.973443479702798,0.9863129311254593,0.8163746915330146,1.045543148076359
2,298,1,309,1.0117615725227693,1.0008439661851554,0.9389500739415652,1.0536261249821783
1,288,3,321,1.0826296067449084,0.9652329797847463,0.882346579352839,1.2414694339210242
4,280,1,326,0.9726404440346403,0.9942788509876502,0.8166793526894063,1.0398017862307525
4,285,2,308,1.0546952373348653,1.1762414500221279,0.9597463227078663,1.0413965883047334
1,285,1,317,0.9999919637491996,1.0092715554786063,0.9999989786337392,0.9953486604422266
4,302,2,325,1.0527931097326655,1.1551320397537832,0.9624958280179647,1.0467722855794568
2,288,2,311,1.0962848349105334,1.1882952703179246,1.073237944569835,1.061803062377187
2,295,4,321,1.0397113650707528,0.9362218846823707,0.7396023986529082,1.2415105884738662
3,294,2,312,1.0547530465278374,1.684172403855753,1.6675640909880214,0.4336378456337876
4,284,1,306,0.9730479304123635,1.0009638565420271,0.8165246948806618,1.0373515851133825
2,297,3,311,1.097722810567234,0.9583255799648737,0.8242027469897584,1.304181457657152
2,288,4,327,1.0395006403393376,0.9365820230117735,0.7398247258946862,1.2407979062254455
2,299,4,322,1.0394682737086292,0.9313877702455536,0.7397354698542521,1.2433749273673556
4,295,2,305,1.056410734204323,1.1658625651586856,0.9587979805885308,1.0504911955350376
4,300,3,324,1.054455054240679,0.9362345555063933,0.7127822675942986,1.284401696931012
3,285,4,312,1.0006691248765314,1.486527885481771,1.365552892771867,0.5752978606262437
4,285,3,311,1.0557882930908107,0.954093017149647,0.7113423246409762,1.27885891528631
4,288,1,325,0.9734434797027981,0.9834937889234279,0.8163746915330145,1.046952719177375
1,299,4,322,1.0274151948264014,0.9318341734420107,0.7991368025613119,1.1893449016511415
4,301,3,317,1.0560719363430282,0.9363318956497888,0.7117249411704367,1.2881154542759434
1,294,4,319,1.0276668489274305,0.9398623821497692,0.7989411106852358,1.1859319514373585
1,292,2,313,1.082659158969428,1.1839230846685076,1.1302476805574564,1.008232935325874
2,289,3,315,1.097128257117834,0.9651388873371954,0.8247658266674589,1.2993041572333408
3,286,4,323,0.9998563033328061,1.4718618545362077,1.3666896471606533,0.5804368558171816
4,296,4,309,1.002012539479242,0.9330756136469934,0.6194563460734449,1.227759099098265
4,300,2,305,1.0569041959482024,1.16118076104332,0.9586392245047755,1.0538983991223572
4,283,1,324,0.9729471987465401,0.9908624855449579,0.8165629146292678,1.0421816974059674
1,286,1,308,0.9999919637491992,1.014089003754429,0.9999989786337392,0.9929399363043143
3,287,1,328,0.9733456827516527,1.543883935295758,1.5828878726789288,0.3833054615159618
1,281,3,317,1.0835280529682667,0.9734603345800154,0.8816149499780934,1.239518463657479
4,300,4,305,1.0027411662786894,0.9352030127497074,0.6191033224166632,1.2283291649741934
